,vote margin,null margin,sample size,popsize,invalid_rate,1% rejection rate - tri,5% rejection rate - tri,10% rejection rate - tri,1% rejection rate - cond,5% rejection rate - cond,10% rejection rate - cond
57,0.1,10.0,10.0,1000.0,0.25,0.0,0.01,0.06,0.02,0.1,0.14
58,0.1,0.0,50.0,1000.0,0.25,0.02,0.13,0.2,0.18,0.59,0.91
59,0.1,10.0,50.0,1000.0,0.25,0.0,0.05,0.09,0.09,0.5,0.83
60,0.1,0.0,100.0,1000.0,0.25,0.01,0.15,0.26,0.3,0.84,1.0
61,0.1,10.0,100.0,1000.0,0.25,0.0,0.06,0.18,0.25,0.78,1.0
62,0.1,0.0,200.0,1000.0,0.25,0.15,0.35,0.53,0.62,0.94,1.0
63,0.1,10.0,200.0,1000.0,0.25,0.11,0.28,0.44,0.53,0.94,1.0
64,0.1,0.0,10.0,1000.0,0.5,0.0,0.01,0.05,0.04,0.19,0.31
65,0.1,10.0,10.0,1000.0,0.5,0.0,0.0,0.03,0.02,0.16,0.3
66,0.1,0.0,50.0,1000.0,0.5,0.0,0.0,0.04,0.1,0.56,0.9
67,0.1,10.0,50.0,1000.0,0.5,0.01,0.06,0.09,0.18,0.52,0.91
68,0.1,0.0,100.0,1000.0,0.5,0.0,0.03,0.11,0.26,0.85,1.0
69,0.1,10.0,100.0,1000.0,0.5,0.01,0.04,0.14,0.27,0.77,1.0
70,0.1,0.0,200.0,1000.0,0.5,0.01,0.14,0.21,0.44,0.97,1.0
71,0.1,10.0,200.0,1000.0,0.5,0.04,0.07,0.2,0.41,0.87,1.0
